Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3,Cases_28_Days,Deaths_28_Days
,Afghanistan,2021-12-15 15:20:44,33.93911,67.709953,157665,7331,,,,,Afghanistan,405.0134065564212,,,4,AFG,1011,34
,Albania,2021-12-15 15:20:44,41.1533,20.1683,204301,3144,,,,,Albania,7099.207728125652,,,8,ALB,10445,140
,Algeria,2021-12-15 15:20:44,28.0339,1.6596,213288,6155,,,,,Algeria,486.392079659314,,,12,DZA,5043,158
,Andorra,2021-12-15 15:20:44,42.5063,1.5218,20136,134,,,,,Andorra,26060.959037080174,,,20,AND,4207,4
,Angola,2021-12-15 15:20:44,-11.2027,17.8739,65431,1737,,,,,Angola,199.0825365386785,,,24,AGO,491,8
,Antigua and Barbuda,2021-12-15 15:20:44,17.0608,-61.7964,4177,117,,,,,Antigua and Barbuda,4265.378645535497,,,28,ATG,55,10
,Argentina,2021-12-15 15:20:44,-38.4161,-63.6167,5366522,116826,,,,,Argentina,11873.945656471398,,,32,ARG,57741,532
,Armenia,2021-12-15 15:20:44,40.0691,45.0382,342977,7856,,,,,Armenia,11574.414980389667,,,51,ARM,12852,738
Australian Capital Territory,Australia,2021-12-15 15:20:44,-35.4735,149.0124,2210,15,,,,,"Australian Capital Territory, Australia",516.2345246437749,,,3601,AUS,239,1
New South Wales,Australia,2021-12-15 15:20:44,-33.8688,151.2093,88595,641,,,,,"New South Wales, Australia",1091.340231584134,,,3602,AUS,9601,29
Northern Territory,Australia,2021-12-15 15:20:44,-12.4634,130.8456,340,1,,,,,"Northern Territory, Australia",138.43648208469057,,,3603,AUS,78,1
Queensland,Australia,2021-12-15 15:20:44,-27.4698,153.0251,2188,7,,,,,"Queensland, Australia",42.77196754960414,,,3604,AUS,78,0
South Australia,Australia,2021-12-15 15:20:44,-34.9285,138.6007,1056,4,,,,,"South Australia, Australia",60.11955593509821,,,3605,AUS,136,0
Tasmania,Australia,2021-12-15 15:20:44,-42.8821,147.3272,240,13,,,,,"Tasmania, Australia",44.81792717086834,,,3606,AUS,2,0
Victoria,Australia,2021-12-15 15:20:44,-37.8136,144.9631,139804,1427,,,,,"Victoria, Australia",2108.68942216323,,,3607,AUS,32559,179
Western Australia,Australia,2021-12-15 15:20:44,-31.9505,115.8605,1125,9,,,,,"Western Australia, Australia",42.76590891811754,,,3608,AUS,9,0
,Austria,2021-12-15 15:20:44,47.5162,14.5501,1239287,13333,,,,,Austria,13760.070616450525,,,40,AUT,253159,1475
,Azerbaijan,2021-12-15 15:20:44,40.1431,47.5769,607076,8137,,,,,Azerbaijan,5987.429943757751,,,31,AZE,41980,621
,Bahamas,2021-12-15 15:20:44,25.025885,-78.035889,22907,708,,,,,Bahamas,5825.0773049068275,,,44,BHS,294,39
,Bahrain,2021-12-15 15:20:44,26.0275,50.55,278149,1394,,,,,Bahrain,16346.484420683564,,,48,BHR,887,1
,Bangladesh,2021-12-15 15:20:44,23.685,90.3563,1580302,28038,,,,,Bangladesh,959.5651955293316,,,50,BGD,7057,106
,Barbados,2021-12-15 15:20:44,13.1939,-59.5432,26949,253,,,,,Barbados,9377.77298335601,,,52,BRB,4310,54
,Belarus,2021-12-15 15:20:44,53.7098,27.9534,678277,5322,,,,,Belarus,7178.0501477301905,,,112,BLR,45487,430
Antwerp,Belgium,2021-12-15 15:20:44,51.2195,4.4024,285105,0,,,,,"Antwerp, Belgium",15344.84113443266,,,5601,BEL,74972,0
Brussels,Belgium,2021-12-15 15:20:44,50.8503,4.3517,228738,0,,,,,"Brussels, Belgium",18926.77292142102,,,5602,BEL,33381,0
East Flanders,Belgium,2021-12-15 15:20:44,51.0362,3.7373,244553,0,,,,,"East Flanders, Belgium",16141.430329015804,,,5603,BEL,71500,0
Flemish Brabant,Belgium,2021-12-15 15:20:44,50.9167,4.5833,169902,0,,,,,"Flemish Brabant, Belgium",14823.390843457588,,,5604,BEL,44015,0
Hainaut,Belgium,2021-12-15 15:20:44,50.5257,4.0621,237257,0,,,,,"Hainaut, Belgium",17649.885697579528,,,5605,BEL,40386,0
Liege,Belgium,2021-12-15 15:20:44,50.4496,5.8492,214863,0,,,,,"Liege, Belgium",19409.625363146253,,,5606,BEL,32560,0
Limburg,Belgium,2021-12-15 15:20:44,50.9739,5.3420000000000005,130273,0,,,,,"Limburg, Belgium",14904.559017353738,,,5607,BEL,39080,0
Luxembourg,Belgium,2021-12-15 15:20:44,50.0547,5.4677,52575,0,,,,,"Luxembourg, Belgium",18470.82961516031,,,5608,BEL,10469,0
Namur,Belgium,2021-12-15 15:20:44,50.331,4.8221,94688,0,,,,,"Namur, Belgium",19155.00935619279,,,5609,BEL,17549,0
Unknown,Belgium,2021-12-15 15:20:44,,,31863,27685,,,,,"Unknown, Belgium",,,,5610,BEL,4147,1241
Walloon Brabant,Belgium,2021-12-15 15:20:44,50.4,4.35,74411,0,,,,,"Walloon Brabant, Belgium",18436.86431334072,,,5611,BEL,15017,0
West Flanders,Belgium,2021-12-15 15:20:44,51.0536,3.1458,204041,0,,,,,"West Flanders, Belgium",17063.194725521746,,,5612,BEL,60331,0
,Belize,2021-12-15 15:20:44,17.1899,-88.4976,31152,586,,,,,Belize,7834.596261263867,,,84,BLZ,1883,38
,Benin,2021-12-15 15:20:44,9.3077,2.3158,24897,161,,,,,Benin,205.36660376247258,,,204,BEN,64,0
,Bhutan,2021-12-15 15:20:44,27.5142,90.4336,2652,3,,,,,Bhutan,343.69605449370925,,,64,BTN,24,0
,Bolivia,2021-12-15 15:20:44,-16.2902,-63.5887,556765,19355,,,,,Bolivia,4769.670322929893,,,68,BOL,29812,300
,Bosnia and Herzegovina,2021-12-15 15:20:44,43.9159,17.6791,283109,13064,,,,,Bosnia and Herzegovina,8629.227798580536,,,70,BIH,16645,915
,Botswana,2021-12-15 15:20:44,-22.3285,24.6849,197644,2424,,,,,Botswana,8404.571307074895,,,72,BWA,3515,8
Acre,Brazil,2021-12-15 15:20:44,-9.0238,-70.812,88287,1849,,,,,"Acre, Brazil",10010.60168833304,,,7601,BRA,174,4
Alagoas,Brazil,2021-12-15 15:20:44,-9.5713,-36.782,241832,6372,,,,,"Alagoas, Brazil",7246.213096171611,,,7602,BRA,829,48
Amapa,Brazil,2021-12-15 15:20:44,0.902,-52.003,125662,2008,,,,,"Amapa, Brazil",14858.38877846502,,,7603,BRA,1546,13
Amazonas,Brazil,2021-12-15 15:20:44,-3.4168,-65.8561,431820,13816,,,,,"Amazonas, Brazil",10418.865814939305,,,7604,BRA,3109,32
Bahia,Brazil,2021-12-15 15:20:44,-12.5797,-41.7007,1264804,27410,,,,,"Bahia, Brazil",8503.990838740423,,,7605,BRA,12177,229
Ceara,Brazil,2021-12-15 15:20:44,-5.4984,-39.3206,953294,24731,,,,,"Ceara, Brazil",10438.960333015117,,,7606,BRA,4910,177
Distrito Federal,Brazil,2021-12-15 15:20:44,-15.7998,-47.8645,518471,11069,,,,,"Distrito Federal, Brazil",17194.856311279793,,,7607,BRA,1747,100
Espirito Santo,Brazil,2021-12-15 15:20:44,-19.1834,-40.3089,625536,13251,,,,,"Espirito Santo, Brazil",15565.82434399612,,,7608,BRA,11369,186
Goias,Brazil,2021-12-15 15:20:44,-15.827,-49.8362,943102,24604,,,,,"Goias, Brazil",13437.652190242898,,,7609,BRA,22321,199
Maranhao,Brazil,2021-12-15 15:20:44,-4.9609,-45.2744,367990,10339,,,,,"Maranhao, Brazil",5201.1390238638405,,,7610,BRA,5088,81
Mato Grosso,Brazil,2021-12-15 15:20:44,-12.6819,-56.9211,551459,13769,,,,,"Mato Grosso, Brazil",15826.212682230218,,,7611,BRA,4485,45
Mato Grosso do Sul,Brazil,2021-12-15 15:20:44,-20.7722,-54.7852,379502,9704,,,,,"Mato Grosso do Sul, Brazil",13656.13212876927,,,7612,BRA,1910,39
Minas Gerais,Brazil,2021-12-15 15:20:44,-18.5122,-44.555,2215363,56479,,,,,"Minas Gerais, Brazil",10465.231576049857,,,7613,BRA,17178,537
Para,Brazil,2021-12-15 15:20:44,-1.9981,-54.9306,616595,16987,,,,,"Para, Brazil",7167.321584146676,,,7614,BRA,14414,182
Paraiba,Brazil,2021-12-15 15:20:44,-7.24,-36.782,462597,9563,,,,,"Paraiba, Brazil",11512.752085735468,,,7615,BRA,4851,90
Parana,Brazil,2021-12-15 15:20:44,-25.2521,-52.0215,1590199,40835,,,,,"Parana, Brazil",13907.687426146522,,,7616,BRA,20158,120
Pernambuco,Brazil,2021-12-15 15:20:44,-8.8137,-36.9541,643353,20336,,,,,"Pernambuco, Brazil",6731.696353412043,,,7617,BRA,7168,206
Piaui,Brazil,2021-12-15 15:20:44,-7.7183,-42.7289,333687,7233,,,,,"Piaui, Brazil",10194.435033072867,,,7618,BRA,5110,86
Rio Grande do Norte,Brazil,2021-12-15 15:20:44,-5.4026,-36.9541,384437,7527,,,,,"Rio Grande do Norte, Brazil",10962.449808988289,,,7620,BRA,6774,82
Rio Grande do Sul,Brazil,2021-12-15 15:20:44,-30.0346,-51.2177,1498999,36297,,,,,"Rio Grande do Sul, Brazil",13175.419800884907,,,7621,BRA,18482,475
Rio de Janeiro,Brazil,2021-12-15 15:20:44,-22.9068,-43.1729,1349551,69290,,,,,"Rio de Janeiro, Brazil",7816.712745590878,,,7619,BRA,16117,537
Rondonia,Brazil,2021-12-15 15:20:44,-11.5057,-63.5806,280495,6671,,,,,"Rondonia, Brazil",15782.751199201,,,7622,BRA,6790,77
Roraima,Brazil,2021-12-15 15:20:44,-2.7376,-62.0751,128751,2064,,,,,"Roraima, Brazil",21254.42212357679,,,7623,BRA,867,26
Santa Catarina,Brazil,2021-12-15 15:20:44,-27.2423,-50.2189,1237919,20095,,,,,"Santa Catarina, Brazil",17277.81757115493,,,7624,BRA,12520,253
Sao Paulo,Brazil,2021-12-15 15:20:44,-23.5505,-46.6333,4449552,154691,,,,,"Sao Paulo, Brazil",9689.991619817736,,,7625,BRA,26629,1624
Sergipe,Brazil,2021-12-15 15:20:44,-10.5741,-37.3857,278405,6053,,,,,"Sergipe, Brazil",12111.43187267912,,,7626,BRA,-238,17
Tocantins,Brazil,2021-12-15 15:20:44,-10.1753,-48.2982,234113,3927,,,,,"Tocantins, Brazil",14884.484755853327,,,7627,BRA,3606,27
,Brunei,2021-12-15 15:20:44,4.5353,114.7277,15372,98,,,,,Brunei,3513.7365337624547,,,96,BRN,1072,2
,Bulgaria,2021-12-15 15:20:44,42.7339,25.4858,718651,29764,,,,,Bulgaria,10342.616225644731,,,100,BGR,55912,3088
,Burkina Faso,2021-12-15 15:20:44,12.2383,-1.5616,16672,296,,,,,Burkina Faso,79.7578255429603,,,854,BFA,1158,31
,Burma,2021-12-15 15:20:44,21.9162,95.956,527503,19197,,,,,Burma,969.5000866939508,,,104,MMR,12558,230
,Burundi,2021-12-15 15:20:44,-3.3731,29.9189,20886,38,,,,,Burundi,175.64868110849912,,,108,BDI,604,0
,Cabo Verde,2021-12-15 15:20:44,16.5388,-23.0418,38509,351,,,,,Cabo Verde,6926.228623639359,,,132,CPV,207,1
,Cambodia,2021-12-15 15:20:44,11.55,104.9167,120390,2995,,,,,Cambodia,720.0802011080707,,,116,KHM,746,116
,Cameroon,2021-12-15 15:20:44,3.848,11.5021,107662,1836,,,,,Cameroon,405.56977162242674,,,120,CMR,1472,66
Alberta,Canada,2021-12-15 15:20:44,53.9333,-116.5765,339541,3283,,,,,"Alberta, Canada",7693.853772342904,,,12401,CAN,9122,82
British Columbia,Canada,2021-12-15 15:20:44,53.7267,-127.6476,223661,2386,,,,,"British Columbia, Canada",4376.142285229833,,,12402,CAN,10303,112
Diamond Princess,Canada,2020-12-21 13:27:30,,,0,1,,,,,"Diamond Princess, Canada",,,,12413,CAN,0,0
Grand Princess,Canada,2020-12-21 13:27:30,,,13,0,,,,,"Grand Princess, Canada",,,,12414,CAN,0,0
Manitoba,Canada,2021-12-15 15:20:44,53.7609,-98.8139,70140,1355,,,,,"Manitoba, Canada",5091.770192309787,,,12403,CAN,4284,81
New Brunswick,Canada,2021-12-15 15:20:44,46.5653,-66.4619,9813,144,,,,,"New Brunswick, Canada",1258.0882136121734,,,12404,CAN,2545,22
Newfoundland and Labrador,Canada,2021-12-15 15:20:44,53.1355,-57.6604,2093,18,,,,,"Newfoundland and Labrador, Canada",401.4462037152474,,,12405,CAN,66,1
Northwest Territories,Canada,2021-12-15 15:20:44,64.8255,-124.8457,2071,12,,,,,"Northwest Territories,Canada",4612.061286299661,,,12406,CAN,43,0
Nova Scotia,Canada,2021-12-15 15:20:44,44.682,-63.7443,8856,110,,,,,"Nova Scotia, Canada",906.0245105411287,,,12407,CAN,912,5
Nunavut,Canada,2021-12-15 15:20:44,70.2998,-83.1076,676,4,,,,,"Nunavut, Canada",1743.166580711707,,,12416,CAN,2,0
Ontario,Canada,2021-12-15 15:20:44,51.2538,-85.3232,645127,10145,,,,,"Ontario, Canada",4385.090988359229,,,12408,CAN,27624,144
Prince Edward Island,Canada,2021-12-15 15:20:44,46.5107,-63.4168,420,0,,,,,"Prince Edward Island, Canada",265.55722758254404,,,12409,CAN,92,0
Quebec,Canada,2021-12-15 15:20:44,52.9399,-73.5491,469355,11618,,,,,"Quebec, Canada",5497.457504233589,,,12410,CAN,33990,70
Repatriated Travellers,Canada,2021-12-15 15:20:44,,,13,0,,,,,"Repatriated Travellers, Canada",,,,12417,CAN,0,0
Saskatchewan,Canada,2021-12-15 15:20:44,52.9399,-106.4509,81899,941,,,,,"Saskatchewan, Canada",6930.807859412051,,,12411,CAN,2289,44
Yukon,Canada,2021-12-15 15:20:44,64.2823,-135.0,1602,14,,,,,"Yukon, Canada",3899.897755489557,,,12412,CAN,324,3
,Central African Republic,2021-12-15 15:20:44,6.6111,20.9394,11961,101,,,,,Central African Republic,247.65185214018743,,,140,CAF,295,0
,Chad,2021-12-15 15:20:44,15.4542,18.7322,5703,181,,,,,Chad,34.719645407890084,,,148,TCD,596,6
Antofagasta,Chile,2021-12-15 15:20:44,-23.6509,-70.3975,66090,1278,,,,,"Antofagasta, Chile",10878.403513219013,,,15201,CHL,1842,16
Araucania,Chile,2021-12-15 15:20:44,-38.9489,-72.3311,102779,1542,,,,,"Araucania, Chile",10737.194219952697,,,15202,CHL,2545,23
