Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Afghanistan,2021-10-26 01:22:13,33.93911,67.709953,156040,7260,,,400.8390699208066,,,4.652653165854909,4,AFG,984,56
Albania,2021-10-26 01:22:13,41.1533,20.1683,181960,2880,,,6322.885537563417,,,1.5827654429544955,8,ALB,13803,234
Algeria,2021-10-26 01:22:13,28.0339,1.6596,205903,5894,,,469.5509751045145,,,2.8625129308460786,12,DZA,3100,113
Andorra,2021-10-26 01:22:13,42.5063,1.5218,15425,130,,,19963.761081990557,,,0.8427876823338736,20,AND,237,0
Angola,2021-10-26 01:22:13,-11.2027,17.8739,63930,1701,,,194.51554402221757,,,2.6607226654152982,24,AGO,8740,196
Antigua and Barbuda,2021-10-26 01:22:13,17.0608,-61.7964,4031,99,,,4116.289518830161,,,2.45596626147358,28,ATG,1096,35
Argentina,2021-10-26 01:22:13,-38.4161,-63.6167,5281585,115851,,,11686.014381387891,,,2.1934892650596365,32,ARG,29956,964
Armenia,2021-10-26 01:22:13,40.0691,45.0382,296552,6055,,,10007.71454431206,,,2.041800426232162,51,ARM,36823,762
Australia,2021-10-26 01:22:13,-25.0,133.0,162026,1653,,,636.4018429125243,,,1.0202066335032651,36,AUS,61199,403
Austria,2021-10-26 01:22:13,47.5162,14.5501,801456,11261,,,8898.738674720198,,,1.4050677766465034,40,AUT,62716,282
Azerbaijan,2021-10-26 01:22:13,40.1431,47.5769,517802,6915,,,5106.9441054129165,,,1.3354525474988508,31,AZE,35482,437
Bahamas,2021-10-26 01:22:13,25.025885,-78.035889,22259,642,,,5660.295792985597,,,2.884226604968777,44,BHS,1576,120
Bahrain,2021-10-26 01:22:13,26.0275,50.55,276608,1393,,,16255.921691742336,,,0.5036007635354003,48,BHR,1757,4
Bangladesh,2021-10-26 01:22:13,23.685,90.3563,1567981,27828,,,952.0838389442506,,,1.7747664034194293,50,BGD,16341,409
Barbados,2021-10-26 01:22:13,13.1939,-59.5432,15588,139,,,5424.346924359104,,,0.8917115730048756,52,BRB,7765,63
Belarus,2021-10-26 01:22:13,53.7098,27.9534,588231,4530,,,6225.113952632152,,,0.7701056217710389,112,BLR,56031,423
Belgium,2021-10-26 01:22:13,50.8333,4.469936,1312360,25846,,,11323.584836633068,,,1.9694291200585208,56,BEL,78637,292
Belize,2021-10-26 01:22:13,17.1899,-88.4976,25881,476,,,6508.9620518031,,,1.8391870484138944,84,BLZ,5845,71
Benin,2021-10-26 01:22:13,9.3077,2.3158,24678,161,,,203.56014972287014,,,0.6524029499959478,204,BEN,1602,7
Bhutan,2021-10-26 01:22:13,27.5142,90.4336,2617,3,,,339.1600960068013,,,0.1146350783339702,64,BTN,18,0
Bolivia,2021-10-26 01:22:13,-16.2902,-63.5887,509919,18901,,,4368.352036133894,,,3.7066671373296542,68,BOL,11024,201
Bosnia and Herzegovina,2021-10-26 01:22:13,43.9159,17.6791,249349,11397,,,7600.215190432865,,,4.570702108289988,70,BIH,17157,900
Botswana,2021-10-26 01:22:13,-22.3285,24.6849,185985,2402,,,7908.786477435816,,,1.2915020028496922,72,BWA,8492,36
Brazil,2021-10-26 01:22:13,-14.235,-51.9253,21735560,605804,,,10225.64002330285,,,2.7871561625281336,76,BRA,377791,11201
Brunei,2021-10-26 01:22:13,4.5353,114.7277,12384,81,,,2830.7385658414155,,,0.6540697674418605,96,BRN,5573,43
Bulgaria,2021-10-26 01:22:13,42.7339,25.4858,575306,23316,,,8279.636666908928,,,4.0527997274493925,100,BGR,76582,2584
Burkina Faso,2021-10-26 01:22:13,12.2383,-1.5616,14793,214,,,70.76880477789177,,,1.4466301629148919,854,BFA,621,34
Burma,2021-10-26 01:22:13,21.9162,95.956,494974,18560,,,909.7148943442056,,,3.749691903009047,104,MMR,36109,1011
Burundi,2021-10-26 01:22:13,-3.3731,29.9189,19945,38,,,167.73498729814295,,,0.1905239408373026,108,BDI,3538,0
Cabo Verde,2021-10-26 01:22:13,16.5388,-23.0418,38148,349,,,6861.299164730174,,,0.914857921778337,132,CPV,692,15
Cambodia,2021-10-26 01:22:13,11.55,104.9167,117888,2743,,,705.115165281404,,,2.3267847448425623,116,KHM,8685,491
Cameroon,2021-10-26 01:22:13,3.848,11.5021,100289,1600,,,377.79520003568166,,,1.59538932485118,120,CMR,14875,232
Canada,2021-10-26 01:22:13,60.00100000000001,-95.001,1709167,28838,,,4514.952595516522,,,1.6872546685022587,124,CAN,96980,1106
Central African Republic,2021-10-26 01:22:13,6.6111,20.9394,11518,100,,,238.47956132018044,,,0.8682062858135093,140,CAF,147,0
Chad,2021-10-26 01:22:13,15.4542,18.7322,5069,174,,,30.859877708678738,,,3.4326297100019727,148,TCD,37,0
Chile,2021-10-26 01:22:13,-35.6751,-71.543,1683451,37685,,,8806.406123724635,,,2.2385563939787967,152,CHL,30078,229
China,2021-10-26 01:22:13,30.5928,114.3055,109205,4849,,,7.774388851558423,,,4.4402728812783305,156,CHN,888,0
Colombia,2021-10-26 01:22:13,4.5709,-74.2973,4992586,127099,,,9811.91632140977,,,2.545754845284588,170,COL,52164,922
Comoros,2021-10-26 01:22:13,-11.6455,43.3333,4219,147,,,485.16838298288286,,,3.4842379710831946,174,COM,93,0
Congo (Brazzaville),2021-10-26 01:22:13,-0.228,15.8277,16868,249,,,305.6853709579325,,,1.4761678918662555,178,COG,2295,48
Congo (Kinshasa),2021-10-26 01:22:13,-4.0383,21.7587,57453,1091,,,64.14928466284428,,,1.8989434842392912,180,COD,815,8
Costa Rica,2021-10-26 01:22:13,9.7489,-83.7534,555970,6946,,,10913.968552725752,,,1.249347986402144,188,CRI,34788,757
