Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Australian Capital Territory,Australia,2021-11-17 12:32:05,-35.4735,149.0124,1971,14,,,,460.406447091801,,,0.7102993404363267,3601,AUS,,,335,3
New South Wales,Australia,2021-11-17 12:32:05,-33.8688,151.2093,78994,612,,,,973.0721852673073,,,0.7747423854976327,3602,AUS,,,6792,72
Northern Territory,Australia,2021-11-17 12:32:05,-12.4634,130.8456,245,0,,,,99.7557003257329,,,0.0,3603,AUS,,,25,0
Queensland,Australia,2021-11-17 12:32:05,-27.4698,153.0251,2110,7,,,,41.24718991300948,,,0.33175355450236965,3604,AUS,,,38,0
South Australia,Australia,2021-11-17 12:32:05,-34.9285,138.6007,921,4,,,,52.43381725021349,,,0.43431053203040176,3605,AUS,,,5,0
Tasmania,Australia,2021-11-17 12:32:05,-42.8821,147.3272,238,13,,,,44.444444444444436,,,5.46218487394958,3606,AUS,,,1,0
Victoria,Australia,2021-11-17 12:32:05,-37.8136,144.9631,107245,1248,,,,1617.5960421725815,,,1.1636906149470838,3607,AUS,,,36247,255
Western Australia,Australia,2021-11-17 12:32:05,-31.9505,115.8605,1116,9,,,,42.423781646772596,,,0.8064516129032258,3608,AUS,,,4,0
Antwerp,Belgium,2021-11-17 12:32:05,51.2195,4.4024,210133,0,,,,11238.681520861299,,,0.0,5601,BEL,,,40074,0
Brussels,Belgium,2021-11-17 12:32:05,50.8503,4.3517,195357,0,,,,16035.805311695827,,,0.0,5602,BEL,,,19830,0
East Flanders,Belgium,2021-11-17 12:32:05,51.0362,3.7373,173053,0,,,,11345.840531583244,,,0.0,5603,BEL,,,28552,0
Flemish Brabant,Belgium,2021-11-17 12:32:05,50.9167,4.5833,125887,0,,,,10891.35808236932,,,0.0,5604,BEL,,,21535,0
Hainaut,Belgium,2021-11-17 12:32:05,50.5257,4.0621,196871,0,,,,14617.25223486086,,,0.0,5605,BEL,,,18817,0
Liege,Belgium,2021-11-17 12:32:05,50.4496,5.8492,182303,0,,,,16426.653451072267,,,0.0,5606,BEL,,,25239,0
Limburg,Belgium,2021-11-17 12:32:05,50.9739,5.3420000000000005,91193,0,,,,10393.904510069868,,,0.0,5607,BEL,,,19405,0
Luxembourg,Belgium,2021-11-17 12:32:05,50.0547,5.4677,42106,0,,,,14683.768552616897,,,0.0,5608,BEL,,,5990,0
Namur,Belgium,2021-11-17 12:32:05,50.331,4.8221,77139,0,,,,15557.487213410994,,,0.0,5609,BEL,,,10772,0
Unknown,Belgium,2021-11-17 12:32:05,,,27716,26444,,,,,,,95.41059315918604,5610,BEL,,,2261,647
Walloon Brabant,Belgium,2021-11-17 12:32:05,50.4,4.35,59394,0,,,,14628.37946007453,,,0.0,5611,BEL,,,8597,0
West Flanders,Belgium,2021-11-17 12:32:05,51.0536,3.1458,143710,0,,,,11966.409785627151,,,0.0,5612,BEL,,,30903,0
Acre,Brazil,2021-11-17 12:32:05,-9.0238,-70.812,88113,1845,,,,9990.872343199897,,,2.0939021483776514,7601,BRA,,,102,3
Alagoas,Brazil,2021-11-17 12:32:05,-9.5713,-36.782,241003,6324,,,,7221.373080554463,,,2.6240337257212567,7602,BRA,,,1580,59
