Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Delta_Confirmed,Delta_Recovered,Incident_Rate,People_Tested,People_Hospitalized,Province_State,FIPS,UID,iso3,Report_Date_String,Delta_Deaths,Doses_Admin,Delta_Doses_Admin
Afghanistan,11/25/21,157144,7307,,,112,,403.67505001047954,,,,,4,AFG,2021/11/25,1,5116767,0
Afghanistan,11/26/21,157171,7307,,,27,,403.7444082191943,,,,,4,AFG,2021/11/26,0,5116767,0
Afghanistan,11/27/21,157190,7308,,,19,,403.7932158475492,,,,,4,AFG,2021/11/27,1,5116767,0
Afghanistan,11/28/21,157218,7308,,,28,,403.865142878809,,,,,4,AFG,2021/11/28,0,5116767,0
Afghanistan,11/29/21,157260,7308,,,42,,403.97303342569876,,,,,4,AFG,2021/11/29,0,5116767,0
Afghanistan,11/30/21,157289,7308,,,29,,404.0475292795036,,,,,4,AFG,2021/11/30,0,5116767,0
Afghanistan,12/1/21,157359,7309,,,70,,404.2273468576531,,,,,4,AFG,2021/12/01,1,5116767,0
Afghanistan,12/2/21,157387,7310,,,28,,404.299273888913,,,,,4,AFG,2021/12/02,1,5116767,0
Afghanistan,12/3/21,157412,7311,,,25,,404.3634944525378,,,,,4,AFG,2021/12/03,1,5116767,0
Afghanistan,12/4/21,157431,7312,,,19,,404.4123020808927,,,,,4,AFG,2021/12/04,1,5228706,111939
Afghanistan,12/5/21,157454,7312,,,23,,404.4713849994275,,,,,4,AFG,2021/12/05,0,5228706,0
Afghanistan,12/6/21,157499,7316,,,45,,404.58698201395225,,,,,4,AFG,2021/12/06,4,5228706,0
Afghanistan,12/7/21,157508,7317,,,9,,404.6101014168572,,,,,4,AFG,2021/12/07,1,5228706,0
Afghanistan,12/8/21,157542,7319,,,34,,404.697441383387,,,,,4,AFG,2021/12/08,2,5228706,0
Afghanistan,12/9/21,157585,7321,,,43,,404.8079007528217,,,,,4,AFG,2021/12/09,2,5228706,0
Afghanistan,12/10/21,157603,7324,,,18,,404.8541395586316,,,,,4,AFG,2021/12/10,3,5228706,0
Afghanistan,12/11/21,157611,7325,,,8,,404.8746901389915,,,,,4,AFG,2021/12/11,1,5228706,0
Afghanistan,12/12/21,157633,7328,,,22,,404.9312042349814,,,,,4,AFG,2021/12/12,3,5228706,0
Afghanistan,12/13/21,157648,7328,,,15,,404.9697365731563,,,,,4,AFG,2021/12/13,0,5228706,0
Afghanistan,12/14/21,157660,7329,,,12,,405.00056244369625,,,,,4,AFG,2021/12/14,1,5228706,0
